Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-03-04 23:37:06,2024-03-05 22:18:56,UTC-06:00,84,50,91,33.37,96.63,5.9,1667,142,60,2024-03-04 23:37:06,2024-03-05 10:15:55,100,15.7,539,638,296,133,110,99,541,68,84,33
2024-03-03 02:01:26,2024-03-04 23:37:06,UTC-06:00,74,50,87,34.20,94.79,3.3,1152,106,56,2024-03-03 02:01:26,2024-03-03 10:30:15,74,16.0,390,508,170,93,127,66,526,52,76,
2024-03-02 00:00:00,2024-03-03 02:01:26,UTC-06:00,,,,,,4.6,922,113,65,,,,,,,,,,,,,,
2024-02-26 02:30:17,2024-02-27 02:30:17,UTC-06:00,80,53,88,33.10,93.67,2.6,707,101,61,2024-02-26 02:30:17,2024-02-26 10:18:26,79,16.0,399,464,313,31,55,65,504,0,86,63
2024-02-25 01:13:35,2024-02-26 02:30:17,UTC-06:00,73,52,81,32.80,95.38,14.4,2924,155,69,2024-02-25 01:13:35,2024-02-25 10:58:53,100,16.0,516,585,333,84,99,69,487,12,88,54
2024-02-24 00:00:00,2024-02-25 01:13:35,UTC-06:00,,,,,,4.8,487,122,78,,,,,,,,,,,,,,
2024-02-22 23:04:41,2024-02-24 00:00:00,UTC-06:00,85,46,95,33.10,96.80,8.1,1751,142,71,2024-02-22 23:04:41,2024-02-23 09:33:23,96,15.8,526,628,217,129,180,102,545,70,83,73
2024-02-21 23:02:45,2024-02-22 23:04:41,UTC-06:00,64,48,84,33.23,96.64,5.5,1542,124,65,2024-02-21 23:02:45,2024-02-22 08:13:35,80,15.8,448,550,246,95,107,102,557,80,81,67
2024-02-20 22:56:36,2024-02-21 23:02:45,UTC-06:00,79,52,95,33.00,96.50,7.0,2066,128,61,2024-02-20 22:56:36,2024-02-21 07:28:49,73,16.1,444,498,256,90,98,54,605,127,89,53
2024-02-20 00:58:58,2024-02-20 22:56:36,UTC-06:00,58,45,85,32.70,96.07,7.4,1902,132,61,2024-02-20 00:58:58,2024-02-20 07:15:19,53,15.9,310,376,177,72,61,66,580,102,82,52
2024-02-19 00:03:18,2024-02-20 00:58:58,UTC-06:00,89,48,101,33.72,96.75,7.6,2158,142,61,2024-02-19 00:03:18,2024-02-19 07:12:02,63,16.5,349,423,255,60,34,74,554,67,82,35
2024-02-17 04:15:31,2024-02-19 00:03:18,UTC-06:00,17,68,47,33.70,93.79,11.0,1868,157,86,2024-02-17 04:15:31,2024-02-17 11:58:52,75,16.3,401,463,295,64,42,62,536,41,86,23
2024-02-15 23:51:11,2024-02-17 04:15:31,UTC-06:00,61,49,85,33.40,98.17,12.7,2852,156,71,2024-02-15 23:51:11,2024-02-16 07:06:41,83,15.8,394,433,249,90,55,39,477,0,91,63
2024-02-15 01:06:26,2024-02-15 23:51:11,UTC-06:00,98,47,109,33.30,96.57,6.9,1936,152,63,2024-02-15 01:06:26,2024-02-15 08:18:03,100,16.0,377,431,276,56,45,54,346,54,87,42
2024-02-13 23:57:05,2024-02-15 01:06:26,UTC-06:00,76,49,89,33.30,96.86,5.0,2024,125,56,2024-02-13 23:57:05,2024-02-14 08:53:58,84,16.1,439,536,246,91,102,97,523,46,81,64
